번호,발표연도,가수,곡명,병기,iTunes가수,iTunes곡명,음반,음반연도,판
114,1991,푸른하늘,꿈에서 본 거리,,푸른하늘,꿈에서 본 거리,푸른하늘 4집 (꿈에서 본 거리),1991,2026-08-28 15:25
115,1992,015B,아주 오래된 연인들,,015B,아주 오래된 연인들,The Third Wave,1992,2026-08-28 15:25
116,1992,김건모,잠 못 드는 밤 비는 내리고,,김건모,잠못드는 밤 비는 내리고,Sleepless Rainy Night,1992,2026-08-28 15:25
117,1992,넥스트,인형의 기사,,넥스트,"인형의 기사, Pt. 2",Home,1993,2026-08-28 15:25
118,1992,노이즈,너에게 원한건,,노이즈,너에게 원한건,Sound Shock,1992,2026-08-28 15:25
119,1992,변진섭,그대 내게 다시,,변진섭,그대 내게 다시,변진섭5집-그대 내게 다시,1992,2026-08-28 15:25
120,1992,서태지와 아이들,이 밤이 깊어가지만,,서태지와 아이들,이밤이 깊어가지만,Seotaiji and Boys,1992,2026-08-28 15:25
121,1992,서태지와 아이들,환상속의 그대,You in the Fantasy,서태지와 아이들,환상속의 그대,Seotaiji and Boys,1992,2026-08-28 15:25
122,1992,윤상,가려진 시간 사이로,,윤상,가려진 시간 사이로,"Yoon Sang, Pt. 1",1992,2026-08-28 15:25
123,1992,윤종신,너의 결혼식,,윤종신,너의 결혼식,Sorrow,1992,2026-08-28 15:25
124,1992,이덕진,내가 아는 한가지,,이덕진,내가 아는 한가지,Sad Wings Of Destiny,1992,2026-08-28 15:25
125,1992,이승철,오직 너뿐인 나를,,이승철,오직 너뿐인 나를,이승철 Best of Best,2003,2026-08-28 15:25
126,1992,이승환,한 사람을 위한 마음,,이승환,한 사람을 위한 마음,His Ballad I,1997,2026-08-28 15:25
127,1993,015B,신인류의 사랑,,015B,신 인류의 사랑,The Fourth Movement,1993,2026-08-28 15:25
128,1993,공일오비,어디선가 나의 노랠 듣고 있을 너,,015B,어디선가 나의 노랠 듣고 있을 너에게,The Fourth Movement,1993,2026-08-28 15:25
129,1993,김건모,핑계,,김건모,핑계,Excuses,1993,2026-08-28 15:25
130,1993,김현철,달의 몰락,,김현철,달의몰락,횡계에서 돌아오는 저녁,1993,2026-08-28 15:25
131,1993,듀스,나를 돌아봐,,듀스,나를 돌아봐,Deux,1993,2026-08-28 15:25
132,1993,듀스,우리는,,듀스,우리는,Deuxism,1993,2026-08-28 15:25
133,1993,서태지와 아이들,우리들만의 추억,,서태지와 아이들,우리들만의 추억,Seotaiji and Boys II,1993,2026-08-28 15:25
134,1993,서태지와 아이들,하여가,,서태지와 아이들,하여가,Seotaiji and Boys II,1993,2026-08-28 15:25
135,1993,신승훈,널 사랑하니까,,신승훈,널 사랑하니까,Because I Love You,1993,2026-08-28 15:25
136,1993,윤종신,오래전 그날,,윤종신,오래전 그날,The Natural,1993,2026-08-28 15:25
