번호,첫방영연도,작품,배역,배우,곡명,가수,iTunes가수,iTunes곡명,음반,음반연도,판
118,2016,더 케이투,김제하 · 고안나,지창욱 · 임윤아,아주 가끔,유성은,유성은,아주 가끔,"더케이투, Pt. 2 (Original Television Soundtrack) - Single",,2026-08-28 14:20
119,2016,도깨비,김신 · 지은탁,공유 · 김고은,첫눈처럼 너에게 가겠다,에일리,에일리,첫눈처럼 너에게 가겠다,"도깨비, Pt. 9 (Original Television Soundtrack) - Single",,2026-08-28 14:20
120,2016,또 오해영,박도경 · 오해영,에릭 · 서현진,너였다면,정승환,정승환,너였다면,"또 오해영, Pt. 5 (Original Television Soundtrack) - Single",,2026-08-28 14:20
121,2016,미녀 공심이,공심 · 단태,민아 · 남궁민,찾았다,커피소년,커피소년,찾았다,미녀 공심이 (Original Soundtrack) Part.5 - Single,,2026-08-28 14:20
122,2016,시그널,박해영 · 차수현,이제훈 · 김혜수,회상,장범준,장범준,회상,시그널 (Original Television Soundtrack),,2026-08-28 14:20
123,2016,옥중화,옥녀 · 윤태원,진세연 · 고수,옥중화 (Feat. 임윤정),정세린,정세린,옥중화 (Feat. 임윤정),옥중화 (Original Television Soundtrack),,2026-08-28 14:20
124,2016,운빨로맨스,심보늬 · 제수호,황정음 · 류준열,슬픈인연,박혜수,박혜수,슬픈인연,운빨로맨스 (Original Television Soundtrack),,2026-08-28 14:20
125,2016,질투의 화신,이화신 · 표나리,조정석 · 공효진,질투의 화신,에이프릴세컨드,에이프릴세컨드,질투의 화신,질투의 화신 (Original Television Soundtrack),,2026-08-28 14:20
126,2016,태양의 후예,유시진 · 강모연,송중기 · 송혜교,Always,윤미래,윤미래,Always,"태양의 후예, Pt. 1 (Original Television Soundtrack) - Single",,2026-08-28 14:20
127,2016,푸른 바다의 전설,허준재 · 심청,이민호 · 전지현,그대라는 세상,윤미래,윤미래,그대라는 세상,"푸른 바다의 전설 (Original Television Soundtrack), Pt. 2 - Single",,2026-08-28 14:20
128,2016,함부로 애틋하게,신준영 · 노을,김우빈 · 배수지,소나기,에릭남,에릭남,소나기,"함부로 애틋하게 (Original Television Soundtrack), Vol. 2",,2026-08-28 14:20
129,2017,당신이 잠든 사이에,정재찬 · 남홍주,이종석 · 배수지,당신이 잠든 사이에,브라더수 & 세오,브라더수 & 세오,당신이 잠든 사이에,"당신이 잠든 사이에 (Original Television Soundtrack), Pt. 5 - EP",,2026-08-28 14:20
130,2017,매드독,최강우 · 김민준,유지태 · 우도환,해가 지기 전에,에릭남,에릭남,해가 지기 전에,"매드독 (Original Television Soundtrack), Pt. 1 - Single",,2026-08-28 14:20
131,2017,미씽나인,서준오 · 라봉희,정경호 · 백진희,안녕 못해,첸,CHEN,안녕 못해,MISSING 9 (Original Television Soundtrack),,2026-08-28 14:20
132,2017,보이스,무진혁 · 강권주,장혁 · 이하나,목소리,김윤아,김윤아,목소리,"보이스, Pt. 2 (Original Television Soundtrack) - Single",,2026-08-28 14:20
133,2017,사랑의 온도,온정선 · 이현수,양세종 · 서현진,You Are,승희,승희,You Are,"SBS Drama 사랑의 온도 (Original Television Soundtrack), Pt. 1",,2026-08-28 14:20
134,2017,슬기로운 감빵생활,김제혁 · 이준호,박해수 · 정경호,"Bravo, My Life!",에릭남,에릭남,"Bravo, My Life!",슬기로운 감빵생활 (Original Television Soundtrack),,2026-08-28 14:20
135,2017,쌈 마이웨이,고동만 · 최애라,박서준 · 김지원,굿모닝,케이시,케이시,굿모닝,"KBS2 드라마 쌈, 마이웨이 (Original Television Soundtrack), Pt. 2 - Single",,2026-08-28 14:20
136,2017,의문의 일승,오일승 · 진진영,윤균상 · 정혜성,의문의 일승,소울 다이브,소울 다이브,의문의 일승,"의문의 일승, Pt. 2 (Original Soundtrack) - Single",,2026-08-28 14:20
137,2017,피고인,박정우 · 서은혜,지성 · 권유리,끝까지,San E,San E,끝까지,"피고인 (Original Soundtrack), Pt. 2 - Single",,2026-08-28 14:20
138,2017,하백의 신부,하백 · 소아,남주혁 · 신세경,이렇게 좋은 이유,양다일,양다일,이렇게 좋은 이유,하백의 신부 2017 (Original Television Soundtrack),,2026-08-28 14:20
139,2017,힘쎈여자 도봉순,도봉순 · 안민혁,박보영 · 박형식,사랑에 빠진 걸까요 (feat. 오브로젝트),브로맨스,브로맨스,사랑에 빠진 걸까요 (feat. 오브로젝트),"힘쎈여자 도봉순 (Original Television Soundtrack), Pt. 6 - Single",,2026-08-28 14:20
140,2018,SKY 캐슬,한서진 · 김주영,염정아 · 김서형,We All Lie,하니,하진,We all lie,"SKY 캐슬, Pt. 4 (Original Television Soundtrack) - Single",,2026-08-28 14:20
141,2018,검법남녀,백범 · 은솔,정재영 · 정유미,Truth,JK 김동욱,JK 김동욱,Truth,검법남녀 OST Part.2 - Single,,2026-08-28 14:20
142,2018,기름진 멜로,서풍 · 단새우,이준호 · 정려원,너였었니,백아연,백아연,너였었니,"기름진 멜로 (Original Television Soundtrack), Pt. 3 - Single",,2026-08-28 14:20
143,2018,김비서가 왜 그럴까,이영준 · 김미소,박서준 · 박민영,그대만 보여서,김나영,김나영,그대만 보여서,"김비서가 왜 그럴까 (Original Soundtrack), Pt. 5 - Single",,2026-08-28 14:20
144,2018,나의 아저씨,박동훈 · 이지안,이선균 · 아이유,어른,손디아,Sondia,어른,"나의 아저씨 (Original Television Soundtrack) , Pt. 2 - Single",,2026-08-28 14:20
145,2018,라이프 온 마스,한태주 · 윤나영,정경호 · 고아성,너는 어디쯤,신해경,신해경,너는 어디쯤,"라이프 온 마스, Pt. 2 (Original Television Soundtrack) - Single",,2026-08-28 14:20
146,2018,미스터 션샤인,최유진 · 고애신,이병헌 · 김태리,좋은 날,멜로망스,멜로망스,좋은 날,미스터 션샤인 (Original Television Soundtrack),,2026-08-28 14:20
147,2018,백일의 낭군님,이율 · 홍심,도경수 · 남지현,기약 없는 이별,노유림,노유림,기약 없는 이별,백일의 낭군님 (Original Television Soundtrack),,2026-08-28 14:20
