번호,연도,작품,배역1,배우1,배역2,배우2,OST가수,OST곡,실제매칭가수,실제매칭곡,앨범
72,2014,쓰리데이즈,한태경,박유천,이차영,박하선,신용재,"널 사랑한다, 지운다, 또 운다",신용재,"널 사랑한다, 지운다, 또 운다",쓰리 데이즈 (Original Soundtrack) Pt. 3 - Single
73,2014,왕의 얼굴,광해,서인국,김가희,조윤희,Seung Yeon Son,그대라서,Seung Yeon Son,그대라서,왕의 얼굴 (Original Soundtrack)
74,2014,운명처럼 널 사랑해,이건,장혁,김미영,장나라,에일리,잠시 안녕처럼,에일리,잠시 안녕처럼,운명처럼 널 사랑해 (Original Sound Track) Pt. 6 - Single
75,2014,조선총잡이,박윤강,이준기,정수인,남상미,Five Sense,連 - 다홍치마,Five Sense,連 - 다홍치마,조선총잡이 (Original Television Soundtrack)
76,2014,태양은 가득히,정세로,윤계상,한영원,한지혜,배호,태양은 가득히,yangpa,태양은 가득히,"태양은 가득히 (Original Television Soundtrack), Pt. 4 - Single"
77,2015,그녀는 예뻤다,지성준,박서준,김혜진,황정음,SoYou,모르나봐,SoYou & 브라더수,모르나봐,"그녀는 예뻤다 (Original Television Soundtrack), Pt. 4 - Single"
78,2015,냄새를 보는 소녀,최무각,박유천,오초림,신세경,김은영 & 장이정(히스토리),아리송해,김은영 & 장이정(히스토리),아리송해,냄새를 보는 소녀 (Original Television Soundtrack)
79,2015,두번째 스무살,하노라,최지우,차현석,이상윤,잔나비,두번째 스무살 Title,잔나비,두번째 스무살 Title,두번째 스무살 (Original Television Soundtrack)
80,2015,맨도롱 또똣,백건우,유연석,이정주,강소라,효린,더 가까이,효린,더 가까이,맨도롱 또똣 (Original Television Soundtrack)
81,2015,오 나의 귀신님,강선우,조정석,나봉선,박보영,한소현,오! 나의 귀신님,한소현 & 제이미 박,오! 나의 귀신님,오 나의 귀신님 (Original Television Soundtrack)
82,2015,용팔이,김태현,주원,한여진,김태희,박기헌,용팔이,박기헌,용팔이,용팔이 (Music from the Original TV Series)
83,2015,응답하라 1988,김정환,류준열,성덕선,혜리,김필,청춘,김필,청춘 (feat. 김창완),"응답하라 1988, Pt. 1 (Original Television Soundtrack) - Single"
84,2015,착하지 않은 여자들,김현숙,채시라,정마리,이하나,어쿠스틱 콜라보,소녀와 가로등 (Original Ver.),어쿠스틱 콜라보,소녀와 가로등 (Original Ver.),KBS2 수목드라마 착하지 않은 여자들 (Original Soundtrack) Pt. 1 - EP
85,2015,킬미힐미,차도현,지성,오리진,황정음,장재인,환청,장재인,환청 (feat. 나쑈),MBC 드라마 킬미힐미 (Original Television Soundtrack)
86,2015,프로듀사,백승찬,김수현,신디,아이유,벤,두근두근,벤,두근두근,프로듀사  : Special Edition (Original Soundtrack)
87,2015,후아유 학교 2015,고은별,김소현,한이안,남주혁,배치기,바람에 날려 (feat. 펀치),배치기,바람에 날려 (feat. 펀치),"후아유-학교 2015, Pt. 2 (Original Television Soundtrack) - Single"
88,2016,구르미 그린 달빛,이영,박보검,홍라온,김유정,거미,구르미 그린 달빛,거미,구르미 그린 달빛,"구르미 그린 달빛 (Original Television Soundtrack), Pt. 3 - Single"
89,2016,굿와이프,김혜경,전도연,이태준,유지태,넬,숨,넬,숨,"굿와이프, Pt. 1 (Original Television Soundtrack) - Single"
90,2016,낭만닥터 김사부,부용주,한석규,강동주,유연석,신용재,언제나 괜찮아,신용재,언제나 괜찮아,낭만닥터 김사부 (Music from the Original TV Series) Pt.7 - Single
91,2016,달의 연인 보보경심 려,왕소,이준기,해수,아이유,다비치,그대를 잊는다는건,다비치,그대를 잊는다는건,달의 연인: 보보경심 려 (Original Television Soundtrack)
92,2016,더 케이투,김제하,지창욱,고안나,임윤아,유성은,아주 가끔,유성은,아주 가끔,"더케이투, Pt. 2 (Original Television Soundtrack) - Single"
93,2016,도깨비,김신,공유,지은탁,김고은,에일리,첫눈처럼 너에게 가겠다,에일리,첫눈처럼 너에게 가겠다,"도깨비, Pt. 9 (Original Television Soundtrack) - Single"
94,2016,또 오해영,박도경,에릭,오해영,서현진,정승환,너였다면,정승환,너였다면,"또 오해영, Pt. 5 (Original Television Soundtrack) - Single"
95,2016,미녀 공심이,공심,민아,단태,남궁민,커피소년,찾았다,커피소년,찾았다,미녀 공심이 (Original Soundtrack) Part.5 - Single
