번호,발매연도,가수,곡,실제매칭가수,실제매칭곡,앨범,앨범연도
283,2025,블랙핑크,JUMP,BLACKPINK,JUMP (Mixed),"INS LAND: ISSA LEE at Culture Club, November 2025 (DJ Mix)",2025
284,2025,아이들,Girlfriend,i-dle,Girlfriend,We are - EP,2025
285,2025,아이브,XOXZ,아이브,XOXZ,IVE SECRET - EP,2025
286,2025,에스파,Dirty Work,aespa,Dirty Work,Dirty Work (Apple Music Edition) - EP,2025
287,2025,에이티즈,Lemon Drop,에이티즈,Lemon Drop,GOLDEN HOUR : Part.3 - EP,2025
288,2025,우즈,I'll Never Love Again,WOODZ,I'll Never Love Again,I’ll Never Love Again - Single,2025
289,2025,제니,like JENNIE,제니,like JENNIE (Mixed),"INS LAND: DJ Jackie at Culture Club, December 2025 (DJ Mix)",2026
290,2025,키스오브라이프,Lips Hips Kiss,KISS OF LIFE,Lips Hips Kiss,224,2025
291,2025,텐,STUNNER,텐,STUNNER,STUNNER - The 2nd Mini Album,2025
292,2025,트레저,YELLOW,TREASURE,YELLOW,SPECIAL MINI ALBUM [PLEASURE] - EP,2025
293,2025,헌트릭스,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",Golden,KPop Demon Hunters (Soundtrack from the Netflix Film),2025
294,2025,화사,Good Goodbye,화사,Good Goodbye,Good Goodbye - Single,2025
295,2026,CORTIS,RedRed,코르티스,REDRED,GREENGREEN - EP,2026
296,2026,Hearts2Hearts,RUDE!,Hearts2Hearts,RUDE!,RUDE! - Single,2026
297,2026,KiiiKiii,404 (New Era),키키,404 (New Era),Delulu Pack - EP,2026
298,2026,방탄소년단,Swim,방탄소년단,SWIM,ARIRANG,2026
299,2026,방탄소년단,Hooligan,방탄소년단,Hooligan,ARIRANG,2026
300,2026,블랙핑크,Champion,BLACKPINK,Champion,DEADLINE - EP,2026
301,2026,아이오아이,갑자기,아이오아이,갑자기,I.O.I 3rd MINI ALBUM (I.O.I : LOOP) - EP,2026
302,2026,악동뮤지션,소문의 낙원,악뮤,소문의 낙원,개화,2026
303,2026,에스파,Lemonade,aespa,LEMONADE,LEMONADE - The 2nd Album,2026
304,2026,엑소,Crown,EXO,Crown,REVERXE - The 8th Album,2026
305,2026,엔하이픈,Lost Island,엔하이픈,Lost Island,THE SIN : VANISH,2026
